[2026-05-12 20:45:36,909] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 33907.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:37,836] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 33988.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:38,859] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 33988.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:39,883] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 33988.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:40,858] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34124.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:41,882] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34124.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:42,857] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34124.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:43,881] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34206.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:44,905] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34206.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:45,880] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34206.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:46,903] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34343.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:47,878] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34343.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:48,902] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34343.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:49,926] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34399.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:50,901] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34399.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:51,925] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34399.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:52,900] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34371.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:53,923] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34371.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:54,947] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34371.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:55,922] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34482.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:56,946] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34482.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:57,921] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34482.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:58,945] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34538.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:45:59,968] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34538.0 Ω | Previsão Nicla: fresca
[2026-05-12 20:46:00,944] [INFO] [root] Decisão Final: banana_fresca | Confiança Câmara: 0.855 | Label Câmara: banana_podre | VOCs: 34538.0 Ω | Previsão Nicla: fresca
