timestamp_unix,timestamp_iso,voltage_v,current_a,power_w,temp_c,energy_ws,capacity_as,duration_sec
1778616114.636341,2026-05-12T21:01:54.636341,5.12891,0.57997,2.9746139327,27.5,628.3050835095031,122.53286899999969,0.47194361686706543
1778616114.6363502,2026-05-12T21:01:54.636350,5.12891,0.58197,2.9848717527,27.5,628.3349322270301,122.5386886999997,0.47194361686706543
1778616114.636356,2026-05-12T21:01:54.636356,5.12891,0.56976,2.9222477616000004,27.5,628.3641547046461,122.5443862999997,0.47194361686706543
1778616114.6762993,2026-05-12T21:01:54.676302,5.12891,0.56379,2.8916281689,27.5,628.3930709863351,122.5500241999997,0.511927604675293
1778616114.6763234,2026-05-12T21:01:54.676323,5.12891,0.58072,2.9784606152000004,27.5,628.4228555924872,122.5558313999997,0.511927604675293
1778616114.6763327,2026-05-12T21:01:54.676333,5.12891,0.58147,2.9823072977000002,27.5,628.4526786654642,122.5616460999997,0.511927604675293
1778616114.6763415,2026-05-12T21:01:54.676341,5.12891,0.5862,3.0065670420000004,27.5,628.4827443358841,122.5675080999997,0.511927604675293
1778616114.7163756,2026-05-12T21:01:54.716378,5.12895,0.58047,2.9772016065,27.5,628.5125163519491,122.5733127999997,0.5520055294036865
1778616114.7163928,2026-05-12T21:01:54.716393,5.12895,0.56503,2.8980106185,27.5,628.5414964581341,122.5789630999997,0.5520055294036865
1778616114.716397,2026-05-12T21:01:54.716397,5.12895,0.56553,2.9005750934999996,27.5,628.5705022090691,122.5846183999997,0.5520055294036865
1778616114.7164009,2026-05-12T21:01:54.716401,5.12895,0.57997,2.9746371314999998,27.5,628.6002485803841,122.5904180999997,0.5520055294036865
1778616114.7565806,2026-05-12T21:01:54.756586,5.12895,0.58197,2.9848950315,27.5,628.6300975306991,122.5962377999997,0.5922002792358398
1778616114.756624,2026-05-12T21:01:54.756625,5.12895,0.57798,2.964430521,27.5,628.6597418359091,122.6020175999997,0.5922002792358398
1778616114.7566402,2026-05-12T21:01:54.756640,5.12895,0.58147,2.9823305565,27.5,628.6895651414741,122.6078322999997,0.5922002792358398
1778616114.7566538,2026-05-12T21:01:54.756654,5.12895,0.57026,2.924835027,27.5,628.7188134917441,122.6135348999997,0.5922002792358398
1778616114.7963858,2026-05-12T21:01:54.796388,5.11517,0.65509,3.3508967152999998,27.5,628.7523224588971,122.6200857999997,0.6320149898529053
1778616114.7964067,2026-05-12T21:01:54.796407,5.12895,0.5862,3.0065904900000002,27.5,628.782388363797,122.6259477999997,0.6320149898529053
1778616114.7964137,2026-05-12T21:01:54.796414,5.12891,0.63426,3.2530624566000004,27.5,628.814918988363,122.63229039999969,0.6320149898529053
1778616114.7964196,2026-05-12T21:01:54.796420,5.12891,0.63625,3.2632689875,27.5,628.847551678238,122.63865289999968,0.6320149898529053
1778616114.8366208,2026-05-12T21:01:54.836626,5.12891,0.63152,3.2390092432,27.5,628.87994177067,122.64496809999969,0.6722264289855957
1778616114.8366704,2026-05-12T21:01:54.836671,5.12891,0.66638,3.4178030458,27.5,628.914119801128,122.65163189999969,0.6722264289855957
1778616114.836686,2026-05-12T21:01:54.836686,5.12891,0.64914,3.3293806374000003,27.5,628.947413607502,122.65812329999969,0.6722264289855957
1778616114.8366976,2026-05-12T21:01:54.836698,5.12891,0.64914,3.3293806374000003,27.5,628.980707413876,122.66461469999969,0.6722264289855957
1778616114.8766675,2026-05-12T21:01:54.876673,5.12891,0.63501,3.2569091391,27.5,629.013276505267,122.6709647999997,0.7122852802276611
1778616114.8767138,2026-05-12T21:01:54.876714,5.12891,0.62679,3.2147494989,27.5,629.0454240002559,122.67723269999969,0.7122852802276611
1778616114.876731,2026-05-12T21:01:54.876731,5.12891,0.64914,3.3293806374000003,27.5,629.0787178066299,122.6837240999997,0.7122852802276611
1778616114.8767443,2026-05-12T21:01:54.876744,5.12891,0.68905,3.5340754355000006,27.5,629.114058560985,122.69061459999969,0.7122852802276611
1778616114.9166594,2026-05-12T21:01:54.916665,5.14271,0.60239,3.0979170769,27.5,629.145037731754,122.6966384999997,0.7522778511047363
1778616114.916709,2026-05-12T21:01:54.916709,5.12883,0.59467,3.0499613361,27.5,629.175537345115,122.70258519999969,0.7522778511047363
1778616114.9167259,2026-05-12T21:01:54.916726,5.12883,0.58495,3.0001091085,27.5,629.2055384362,122.70843469999969,0.7522778511047363
1778616114.9167397,2026-05-12T21:01:54.916740,5.12883,0.64728,3.3197890824,27.5,629.238736327024,122.71490749999968,0.7522778511047363
1778616114.9581559,2026-05-12T21:01:54.958160,5.12883,0.61085,3.1329458055,27.5,629.2700657850789,122.72101599999968,0.7937803268432617
1778616114.9581878,2026-05-12T21:01:54.958188,5.12883,0.64728,3.3197890824,27.5,629.3032636759029,122.72748879999968,0.7937803268432617
1778616114.9581969,2026-05-12T21:01:54.958197,5.14146,0.64728,3.3279642288,27.5,629.3365433181909,122.73396159999967,0.7937803268432617
1778616114.9582052,2026-05-12T21:01:54.958205,5.12883,0.62704,3.2159815632,27.5,629.3687031338229,122.74023199999968,0.7937803268432617
1778616114.9962423,2026-05-12T21:01:54.996244,5.11642,0.74682,3.8210447844,27.5,629.4069135816669,122.74770019999968,0.8318722248077393
1778616114.9962623,2026-05-12T21:01:54.996262,5.12883,0.66489,3.4101077786999996,27.5,629.4410146594539,122.75434909999969,0.8318722248077393
1778616114.9962711,2026-05-12T21:01:54.996271,5.12875,0.65867,3.3781537624999998,27.5,629.474796197079,122.76093579999969,0.8318722248077393
1778616114.996278,2026-05-12T21:01:54.996278,5.12875,0.64316,3.2986068499999996,27.5,629.507782265579,122.76736739999969,0.8318722248077393
1778616115.03703,2026-05-12T21:01:55.037044,5.12875,0.65518,3.360254425,27.5,629.541384809829,122.77391919999968,0.8726208209991455
1778616115.037127,2026-05-12T21:01:55.037128,5.12875,0.64316,3.2986068499999996,27.5,629.574370878329,122.78035079999968,0.8726208209991455
1778616115.037145,2026-05-12T21:01:55.037145,5.12875,0.64316,3.2986068499999996,27.5,629.607356946829,122.78678239999968,0.8726208209991455
1778616115.037156,2026-05-12T21:01:55.037156,5.12875,0.64316,3.2986068499999996,27.5,629.640343015329,122.79321399999968,0.8726208209991455
1778616115.0762622,2026-05-12T21:01:55.076265,5.12875,0.78293,4.0154522375,27.5,629.680497537704,122.80104329999968,0.9118931293487549
1778616115.0762796,2026-05-12T21:01:55.076279,5.14396,0.64316,3.3083893135999998,27.5,629.71358143084,122.80747489999968,0.9118931293487549
1778616115.076284,2026-05-12T21:01:55.076284,5.12875,0.64316,3.2986068499999996,27.5,629.74656749934,122.81390649999967,0.9118931293487549
1778616115.0762877,2026-05-12T21:01:55.076287,5.12875,0.65692,3.3691784499999997,27.5,629.78025928384,122.82047569999968,0.9118931293487549
1778616115.1162617,2026-05-12T21:01:55.116263,5.12879,0.64298,3.2977093942000004,27.5,629.813236377782,122.82690549999968,0.9518938064575195
1778616115.116276,2026-05-12T21:01:55.116276,5.12879,0.63202,3.2414978558000005,27.5,629.84565135634,122.83322569999969,0.9518938064575195
1778616115.11628,2026-05-12T21:01:55.116280,5.12879,0.62853,3.2235983787,27.5,629.877887340127,122.83951099999969,0.9518938064575195
1778616115.116284,2026-05-12T21:01:55.116284,5.11266,0.8915,4.55793639,27.5,629.923466704027,122.84842599999969,0.9518938064575195
1778616115.1563272,2026-05-12T21:01:55.156330,5.14146,0.64298,3.3058559508000003,27.5,629.956525263535,122.8548557999997,0.9919533729553223
1778616115.1563554,2026-05-12T21:01:55.156355,5.12879,0.64298,3.2977093942000004,27.5,629.989502357477,122.8612855999997,0.9919533729553223
1778616115.1563635,2026-05-12T21:01:55.156363,5.12879,0.64298,3.2977093942000004,27.5,630.022479451419,122.86771539999971,0.9919533729553223
1778616115.1563702,2026-05-12T21:01:55.156370,5.12879,0.62629,3.2121098891,27.5,630.05460055031,122.8739782999997,0.9919533729553223
1778616115.1963394,2026-05-12T21:01:55.196342,5.12879,0.61758,3.1674381282,27.5,630.086274931592,122.8801540999997,1.0319533348083496
1778616115.196374,2026-05-12T21:01:55.196374,5.12879,0.64298,3.2977093942000004,27.5,630.119252025534,122.8865838999997,1.0319533348083496
1778616115.196386,2026-05-12T21:01:55.196386,5.12871,0.63177,3.2401651167,27.5,630.151653676701,122.8929015999997,1.0319533348083496
1778616115.1963933,2026-05-12T21:01:55.196393,5.12871,0.64491,3.3075563661,27.5,630.184729240362,122.8993506999997,1.0319533348083496
1778616115.2362955,2026-05-12T21:01:55.236298,5.12871,0.62878,3.2248302738,27.5,630.2169775431,122.9056384999997,0.03202390670776367
1778616115.2363193,2026-05-12T21:01:55.236319,5.12871,0.61185,3.1380012135,27.5,630.248357555235,122.9117569999997,0.03202390670776367
1778616115.2363284,2026-05-12T21:01:55.236328,5.12871,0.61185,3.1380012135,27.5,630.2797375673699,122.9178754999997,0.03202390670776367
1778616115.2363334,2026-05-12T21:01:55.236333,5.12871,0.63451,3.2542177821,27.5,630.312279745191,122.9242205999997,0.03202390670776367
1778616115.2764246,2026-05-12T21:01:55.276428,5.11767,0.64491,3.3004365597,27.5,630.3452841107879,122.9306696999997,0.07214903831481934
1778616115.2764506,2026-05-12T21:01:55.276451,5.12871,0.64491,3.3075563661,27.5,630.3783596744489,122.9371187999997,0.07214903831481934
1778616115.2764556,2026-05-12T21:01:55.276455,5.12871,0.64491,3.3075563661,27.5,630.4114352381099,122.94356789999969,0.07214903831481934
1778616115.2764595,2026-05-12T21:01:55.276459,5.12871,0.62405,3.2005714755,27.5,630.4434409528649,122.9498083999997,0.07214903831481934
1778616115.316377,2026-05-12T21:01:55.316379,5.12875,0.64417,3.3037868875000003,27.5,630.4764788217399,122.95625009999969,0.1121053695678711
1778616115.3163965,2026-05-12T21:01:55.316396,5.11767,0.75056,3.8411183952000005,27.5,630.5148900056919,122.9637556999997,0.1121053695678711
1778616115.316401,2026-05-12T21:01:55.316401,5.12875,0.66763,3.4241073625,27.5,630.5491310793169,122.97043199999969,0.1121053695678711
1778616115.3164048,2026-05-12T21:01:55.316405,5.12875,0.58495,3.0000623125,27.5,630.5791317024419,122.97628149999969,0.1121053695678711
1778616115.3563745,2026-05-12T21:01:55.356377,5.12875,0.56902,2.918361325,27.5,630.6083153156919,122.98197169999969,0.15210270881652832
1778616115.3563917,2026-05-12T21:01:55.356392,5.12875,0.57176,2.9324141000000004,27.5,630.6376394566919,122.98768929999969,0.15210270881652832
1778616115.3563962,2026-05-12T21:01:55.356396,5.12875,0.58545,3.0026266875000003,27.5,630.6676657235669,122.99354379999969,0.15210270881652832
1778616115.3564005,2026-05-12T21:01:55.356400,5.12875,0.5867,3.009037625,27.5,630.6977560998168,122.99941079999968,0.15210270881652832
1778616115.3963683,2026-05-12T21:01:55.396370,5.12875,0.5867,3.009037625,27.5,630.7278464760668,123.00527779999967,0.19209671020507812
1778616115.3963854,2026-05-12T21:01:55.396385,5.12875,0.5872,3.0116020000000003,27.5,630.7579624960669,123.01114979999967,0.19209671020507812
1778616115.39639,2026-05-12T21:01:55.396390,5.12867,0.57151,2.9310861916999995,27.5,630.7872733579838,123.01686489999967,0.19209671020507812
1778616115.3963938,2026-05-12T21:01:55.396393,5.12867,0.57151,2.9310861916999995,27.5,630.8165842199008,123.02257999999968,0.19209671020507812
1778616115.436331,2026-05-12T21:01:55.436333,5.12867,0.5857,3.0038620189999996,27.5,630.8466228400908,123.02843699999968,0.23205924034118652
1778616115.4363482,2026-05-12T21:01:55.436348,5.12867,0.58072,2.9783212424,27.5,630.8764060525149,123.03424419999969,0.23205924034118652
1778616115.4363523,2026-05-12T21:01:55.436352,5.12867,0.58869,3.0191967423,27.5,630.9065980199379,123.04013109999968,0.23205924034118652
1778616115.436356,2026-05-12T21:01:55.436356,5.12867,0.57997,2.9744747398999998,27.5,630.9363427673369,123.04593079999968,0.23205924034118652
1778616115.4763682,2026-05-12T21:01:55.476370,5.12867,0.56428,2.8940059076,27.5,630.9652828264129,123.05157359999968,0.2720968723297119
1778616115.476385,2026-05-12T21:01:55.476385,5.12867,0.6507,3.3372255689999997,27.5,630.9986550821029,123.05808059999968,0.2720968723297119
1778616115.4763894,2026-05-12T21:01:55.476389,5.12867,0.60737,3.1150002978999995,27.5,631.0298050850819,123.06415429999969,0.2720968723297119
1778616115.4763932,2026-05-12T21:01:55.476393,5.12867,0.6624,3.397231008,27.5,631.0637773951619,123.07077829999969,0.2720968723297119
1778616115.5163662,2026-05-12T21:01:55.516370,5.12836,0.6121,3.1390691559999997,27.5,631.0951680867219,123.07689929999968,0.3120882511138916
1778616115.5164006,2026-05-12T21:01:55.516401,5.12836,0.60886,3.1224532696,27.5,631.1263926194179,123.08298789999968,0.3120882511138916
1778616115.5164063,2026-05-12T21:01:55.516406,5.12836,0.65144,3.3408188384,27.5,631.1598008078018,123.08950229999968,0.3120882511138916
1778616115.5164099,2026-05-12T21:01:55.516410,5.12836,0.58346,2.9921929256,27.5,631.1897227370579,123.09533689999968,0.3120882511138916
1778616115.556344,2026-05-12T21:01:55.556346,5.12836,0.58794,3.0151679784,27.5,631.2198744168419,123.10121629999968,0.35207247734069824
1778616115.556361,2026-05-12T21:01:55.556361,5.12836,0.58769,3.0138858884,27.5,631.2500132757259,123.10709319999968,0.35207247734069824
1778616115.5563653,2026-05-12T21:01:55.556365,5.12836,0.58993,3.0253734147999998,27.5,631.2802670098739,123.11299249999968,0.35207247734069824
1778616115.5563688,2026-05-12T21:01:55.556369,5.12836,0.5867,3.008808812,27.5,631.3103550979939,123.11885949999967,0.35207247734069824
1778616115.596385,2026-05-12T21:01:55.596387,5.12836,0.57499,2.9487557164,27.5,631.3398426551579,123.12460939999967,0.39211344718933105
1778616115.5964034,2026-05-12T21:01:55.596403,5.12836,0.58944,3.0228605184,27.5,631.3700712603419,123.13050379999967,0.39211344718933105
1778616115.5964081,2026-05-12T21:01:55.596408,5.12848,0.58097,2.9794930255999996,27.5,631.3998661905979,123.13631349999967,0.39211344718933105
1778616115.5964122,2026-05-12T21:01:55.596412,5.12848,0.5867,3.008879216,27.5,631.4299549827579,123.14218049999967,0.39211344718933105
1778616115.6363773,2026-05-12T21:01:55.636379,5.12848,0.5862,3.006314976,27.5,631.4600181325179,123.14804249999966,0.43210601806640625
1778616115.6363947,2026-05-12T21:01:55.636395,5.12848,0.58246,2.9871344607999997,27.5,631.4898894771259,123.15386709999966,0.43210601806640625
1778616115.6363988,2026-05-12T21:01:55.636399,5.12848,0.5867,3.008879216,27.5,631.5199782692858,123.15973409999965,0.43210601806640625
1778616115.6364024,2026-05-12T21:01:55.636402,5.12848,0.59193,3.0357011663999995,27.5,631.5503352809499,123.16565339999966,0.43210601806640625
1778616115.6763844,2026-05-12T21:01:55.676386,5.12848,0.58794,3.0152385312,27.5,631.5804876662619,123.17153279999965,0.47211289405822754
1778616115.676401,2026-05-12T21:01:55.676401,5.12848,0.58346,2.9922629408,27.5,631.6104102956699,123.17736739999965,0.47211289405822754
1778616115.6764052,2026-05-12T21:01:55.676405,5.12848,0.59218,3.0369832864,27.5,631.640780128534,123.18328919999965,0.47211289405822754
1778616115.676409,2026-05-12T21:01:55.676409,5.12848,0.57151,2.9309776048,27.5,631.6700899045819,123.18900429999965,0.47211289405822754
1778616115.7164,2026-05-12T21:01:55.716404,5.12844,0.58172,2.9833161168,27.5,631.6999230657499,123.19482149999965,0.5121243000030518
1778616115.716434,2026-05-12T21:01:55.716434,5.12844,0.59541,3.0535244604000003,27.5,631.7304583103539,123.20077559999964,0.5121243000030518
1778616115.7164383,2026-05-12T21:01:55.716438,5.12844,0.5867,3.008855748,27.5,631.7605468678339,123.20664259999964,0.5121243000030518
1778616115.7164416,2026-05-12T21:01:55.716442,5.12844,0.59068,3.0292669392000002,27.5,631.7908395372259,123.21254939999965,0.5121243000030518
1778616115.756375,2026-05-12T21:01:55.756377,5.12844,0.58172,2.9833161168,27.5,631.8206726983939,123.21836659999964,0.5521049499511719
1778616115.7563894,2026-05-12T21:01:55.756389,5.12844,0.57474,2.9475196056,27.5,631.8501478944498,123.22411399999964,0.5521049499511719
1778616115.756394,2026-05-12T21:01:55.756394,5.11141,0.73761,3.7702271301000003,27.5,631.8878501657508,123.23149009999965,0.5521049499511719
1778616115.7563975,2026-05-12T21:01:55.756397,5.12844,0.59467,3.0497294148000003,27.5,631.9183474598988,123.23743679999964,0.5521049499511719
1778616115.7963765,2026-05-12T21:01:55.796378,5.12844,0.58495,2.999880978,27.5,631.9483462696787,123.24328629999964,0.5921051502227783
1778616115.7963932,2026-05-12T21:01:55.796393,5.12844,0.58047,2.9769055668000006,27.5,631.9781153253467,123.24909099999964,0.5921051502227783
1778616115.7963982,2026-05-12T21:01:55.796398,5.12852,0.57101,2.9284362052,27.5,632.0073996873987,123.25480109999964,0.5921051502227783
1778616115.7964017,2026-05-12T21:01:55.796401,5.12852,0.574,2.94377048,27.5,632.0368373921987,123.26054109999964,0.5921051502227783
1778616115.836374,2026-05-12T21:01:55.836375,5.12852,0.63874,3.2757908648,27.5,632.0695953008467,123.26692849999964,0.632103681564331
1778616115.8363888,2026-05-12T21:01:55.836389,5.12852,0.63575,3.26045659,27.5,632.1021998667467,123.27328599999963,0.632103681564331
1778616115.836393,2026-05-12T21:01:55.836393,5.12852,0.62516,3.2061455632,27.5,632.1342613223786,123.27953759999963,0.632103681564331
1778616115.8363972,2026-05-12T21:01:55.836397,5.12852,0.62516,3.2061455632,27.5,632.1663227780106,123.28578919999963,0.632103681564331
1778616115.8762655,2026-05-12T21:01:55.876267,5.12852,0.62516,3.2061455632,27.5,632.1983842336425,123.29204079999963,0.6719927787780762
1778616115.8762882,2026-05-12T21:01:55.876288,5.12852,0.62516,3.2061455632,27.5,632.2304456892745,123.29829239999962,0.6719927787780762
1778616115.8762972,2026-05-12T21:01:55.876297,5.12852,0.63849,3.2745087348,27.5,632.2631907766224,123.30467729999963,0.6719927787780762
